genome_region,host,country,isolation,collection_date,strain
GP-Small,Homo sapiens,Liberia,blood,2014/10/10,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/10/10,zaire
vp30,Homo sapiens,Liberia,blood,2014/10/10,zaire
vp24,Homo sapiens,Liberia,blood,2014/10/10,zaire
L,Homo sapiens,Liberia,blood,2014/10/10,zaire
NP,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/27,zaire
L,Homo sapiens,Liberia,blood,2014/08/27,zaire
NP,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/27,zaire
L,Homo sapiens,Liberia,blood,2014/08/27,zaire
NP,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/27,zaire
L,Homo sapiens,Liberia,blood,2014/08/27,zaire
NP,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/27,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/27,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/27,zaire
L,Homo sapiens,Liberia,blood,2014/08/27,zaire
NP,Homo sapiens,Liberia,blood,2014/10/23,zaire
vp35,Homo sapiens,Liberia,blood,2014/10/23,zaire
vp40,Homo sapiens,Liberia,blood,2014/10/23,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/10/23,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/10/23,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/10/23,zaire
vp30,Homo sapiens,Liberia,blood,2014/10/23,zaire
vp24,Homo sapiens,Liberia,blood,2014/10/23,zaire
L,Homo sapiens,Liberia,blood,2014/10/23,zaire
NP,Homo sapiens,Liberia,blood,2014/11/19,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/19,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/19,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/19,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/19,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/19,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/19,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/19,zaire
L,Homo sapiens,Liberia,blood,2014/11/19,zaire
NP,Homo sapiens,Liberia,blood,2014/11/23,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/23,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/23,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/23,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/23,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/23,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/23,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/23,zaire
L,Homo sapiens,Liberia,blood,2014/11/23,zaire
NP,Homo sapiens,Liberia,blood,2014/11/23,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/23,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/23,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/23,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/23,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/23,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/23,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/23,zaire
L,Homo sapiens,Liberia,blood,2014/11/23,zaire
NP,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/25,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/25,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/25,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/25,zaire
L,Homo sapiens,Liberia,blood,2014/11/25,zaire
NP,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/25,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/25,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/25,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/25,zaire
L,Homo sapiens,Liberia,blood,2014/11/25,zaire
NP,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/25,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/25,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/25,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/25,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/25,zaire
L,Homo sapiens,Liberia,blood,2014/11/25,zaire
NP,Homo sapiens,Liberia,blood,2014/09/04,zaire
vp35,Homo sapiens,Liberia,blood,2014/09/04,zaire
vp40,Homo sapiens,Liberia,blood,2014/09/04,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/09/04,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/09/04,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/09/04,zaire
vp30,Homo sapiens,Liberia,blood,2014/09/04,zaire
vp24,Homo sapiens,Liberia,blood,2014/09/04,zaire
L,Homo sapiens,Liberia,blood,2014/09/04,zaire
NP,Homo sapiens,Liberia,blood,2014/09/04,zaire
vp35,Homo sapiens,Liberia,blood,2014/09/04,zaire
vp40,Homo sapiens,Liberia,blood,2014/09/04,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/09/04,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/09/04,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/09/04,zaire
vp30,Homo sapiens,Liberia,blood,2014/09/04,zaire
vp24,Homo sapiens,Liberia,blood,2014/09/04,zaire
L,Homo sapiens,Liberia,blood,2014/09/04,zaire
NP,Homo sapiens,Liberia,blood,2014/09/06,zaire
vp35,Homo sapiens,Liberia,blood,2014/09/06,zaire
vp40,Homo sapiens,Liberia,blood,2014/09/06,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/09/06,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/09/06,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/09/06,zaire
vp30,Homo sapiens,Liberia,blood,2014/09/06,zaire
vp24,Homo sapiens,Liberia,blood,2014/09/06,zaire
L,Homo sapiens,Liberia,blood,2014/09/06,zaire
NP,Homo sapiens,Liberia,blood,2014/09/06,zaire
vp35,Homo sapiens,Liberia,blood,2014/09/06,zaire
vp40,Homo sapiens,Liberia,blood,2014/09/06,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/09/06,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/09/06,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/09/06,zaire
vp30,Homo sapiens,Liberia,blood,2014/09/06,zaire
vp24,Homo sapiens,Liberia,blood,2014/09/06,zaire
L,Homo sapiens,Liberia,blood,2014/09/06,zaire
NP,Homo sapiens,Liberia,blood,2014/09/07,zaire
vp35,Homo sapiens,Liberia,blood,2014/09/07,zaire
vp40,Homo sapiens,Liberia,blood,2014/09/07,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/09/07,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/09/07,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/09/07,zaire
vp30,Homo sapiens,Liberia,blood,2014/09/07,zaire
vp24,Homo sapiens,Liberia,blood,2014/09/07,zaire
L,Homo sapiens,Liberia,blood,2014/09/07,zaire
NP,Homo sapiens,Liberia,blood,2014/09/07,zaire
vp35,Homo sapiens,Liberia,blood,2014/09/07,zaire
vp40,Homo sapiens,Liberia,blood,2014/09/07,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/09/07,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/09/07,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/09/07,zaire
vp30,Homo sapiens,Liberia,blood,2014/09/07,zaire
vp24,Homo sapiens,Liberia,blood,2014/09/07,zaire
L,Homo sapiens,Liberia,blood,2014/09/07,zaire
NP,Homo sapiens,Liberia,blood,2014/10/31,zaire
vp35,Homo sapiens,Liberia,blood,2014/10/31,zaire
vp40,Homo sapiens,Liberia,blood,2014/10/31,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/10/31,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/10/31,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/10/31,zaire
vp30,Homo sapiens,Liberia,blood,2014/10/31,zaire
vp24,Homo sapiens,Liberia,blood,2014/10/31,zaire
L,Homo sapiens,Liberia,blood,2014/10/31,zaire
NP,Homo sapiens,Liberia,blood,2014/11/06,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/06,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/06,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/06,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/06,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/06,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/06,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/06,zaire
L,Homo sapiens,Liberia,blood,2014/11/06,zaire
NP,Homo sapiens,Liberia,blood,2014/11/07,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/07,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/07,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/07,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/07,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/07,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/07,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/07,zaire
L,Homo sapiens,Liberia,blood,2014/11/07,zaire
NP,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/10,zaire
L,Homo sapiens,Liberia,blood,2014/11/10,zaire
NP,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/10,zaire
L,Homo sapiens,Liberia,blood,2014/11/10,zaire
NP,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/10,zaire
L,Homo sapiens,Liberia,blood,2014/11/10,zaire
NP,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/10,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/10,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/10,zaire
L,Homo sapiens,Liberia,blood,2014/11/10,zaire
NP,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/13,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/13,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/13,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/13,zaire
L,Homo sapiens,Liberia,blood,2014/11/13,zaire
NP,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/13,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/13,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/13,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/13,zaire
L,Homo sapiens,Liberia,blood,2014/11/13,zaire
NP,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/13,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/13,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/13,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/13,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/13,zaire
L,Homo sapiens,Liberia,blood,2014/11/13,zaire
NP,Homo sapiens,Liberia,blood,2014/11/14,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/14,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/14,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/14,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/14,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/14,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/14,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/14,zaire
L,Homo sapiens,Liberia,blood,2014/11/14,zaire
NP,Homo sapiens,Liberia,blood,2014/11/17,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/17,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/17,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/17,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/17,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/17,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/17,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/17,zaire
L,Homo sapiens,Liberia,blood,2014/11/17,zaire
NP,Homo sapiens,Liberia,blood,2014/11/22,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/22,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/22,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/22,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/22,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/22,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/22,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/22,zaire
L,Homo sapiens,Liberia,blood,2014/11/22,zaire
NP,Homo sapiens,Liberia,blood,2014/11/22,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/22,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/22,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/22,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/22,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/22,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/22,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/22,zaire
L,Homo sapiens,Liberia,blood,2014/11/22,zaire
NP,Homo sapiens,Liberia,blood,2014/11/26,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/26,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/26,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/26,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/26,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/26,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/26,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/26,zaire
L,Homo sapiens,Liberia,blood,2014/11/26,zaire
NP,Homo sapiens,Liberia,blood,2014/11/28,zaire
vp35,Homo sapiens,Liberia,blood,2014/11/28,zaire
vp40,Homo sapiens,Liberia,blood,2014/11/28,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/11/28,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/11/28,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/11/28,zaire
vp30,Homo sapiens,Liberia,blood,2014/11/28,zaire
vp24,Homo sapiens,Liberia,blood,2014/11/28,zaire
L,Homo sapiens,Liberia,blood,2014/11/28,zaire
NP,Homo sapiens,Liberia,blood,2014/12/22,zaire
vp35,Homo sapiens,Liberia,blood,2014/12/22,zaire
vp40,Homo sapiens,Liberia,blood,2014/12/22,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/12/22,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/12/22,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/12/22,zaire
vp30,Homo sapiens,Liberia,blood,2014/12/22,zaire
vp24,Homo sapiens,Liberia,blood,2014/12/22,zaire
L,Homo sapiens,Liberia,blood,2014/12/22,zaire
NP,Homo sapiens,Liberia,blood,2014/12/29,zaire
vp35,Homo sapiens,Liberia,blood,2014/12/29,zaire
vp40,Homo sapiens,Liberia,blood,2014/12/29,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/12/29,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/12/29,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/12/29,zaire
vp30,Homo sapiens,Liberia,blood,2014/12/29,zaire
vp24,Homo sapiens,Liberia,blood,2014/12/29,zaire
L,Homo sapiens,Liberia,blood,2014/12/29,zaire
NP,Homo sapiens,Liberia,blood,2014/08/21,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/21,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/21,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/21,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/21,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/21,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/21,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/21,zaire
L,Homo sapiens,Liberia,blood,2014/08/21,zaire
NP,Homo sapiens,Liberia,blood,2014/08/19,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/19,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/19,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/19,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/19,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/19,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/19,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/19,zaire
L,Homo sapiens,Liberia,blood,2014/08/19,zaire
NP,Homo sapiens,Liberia,blood,2014/08/19,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/19,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/19,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/19,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/19,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/19,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/19,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/19,zaire
L,Homo sapiens,Liberia,blood,2014/08/19,zaire
NP,Homo sapiens,Liberia,blood,2014/08/18,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/18,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/18,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/18,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/18,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/18,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/18,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/18,zaire
L,Homo sapiens,Liberia,blood,2014/08/18,zaire
NP,Homo sapiens,Liberia,blood,2014/08/18,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/18,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/18,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/18,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/18,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/18,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/18,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/18,zaire
L,Homo sapiens,Liberia,blood,2014/08/18,zaire
NP,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/16,zaire
L,Homo sapiens,Liberia,blood,2014/08/16,zaire
NP,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/16,zaire
L,Homo sapiens,Liberia,blood,2014/08/16,zaire
NP,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/16,zaire
L,Homo sapiens,Liberia,blood,2014/08/16,zaire
NP,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/16,zaire
L,Homo sapiens,Liberia,blood,2014/08/16,zaire
NP,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/16,zaire
L,Homo sapiens,Liberia,blood,2014/08/16,zaire
NP,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/16,zaire
L,Homo sapiens,Liberia,blood,2014/08/16,zaire
NP,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/16,zaire
L,Homo sapiens,Liberia,blood,2014/08/16,zaire
NP,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/16,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/16,zaire
vp24,Homo sapiens,Liberia,blood,2014/08/16,zaire
L,Homo sapiens,Liberia,blood,2014/08/16,zaire
NP,Homo sapiens,Liberia,blood,2014/08/15,zaire
vp35,Homo sapiens,Liberia,blood,2014/08/15,zaire
vp40,Homo sapiens,Liberia,blood,2014/08/15,zaire
GP-Spike,Homo sapiens,Liberia,blood,2014/08/15,zaire
GP-Small,Homo sapiens,Liberia,blood,2014/08/15,zaire
GP-Second,Homo sapiens,Liberia,blood,2014/08/15,zaire
vp30,Homo sapiens,Liberia,blood,2014/08/15,zaire
