genome_region,host,country,isolation,collection_date,strain
GP-Small,NA,NA,NA,NA,reston
GP-Spike,NA,NA,NA,NA,reston
GP-Spike,NA,NA,NA,1992,reston
GP-Small,NA,NA,NA,1992,reston
GP-Spike,NA,NA,NA,NA,reston
GP-Small,NA,NA,NA,NA,reston
GP-Spike,NA,NA,NA,NA,reston
GP-Small,NA,NA,NA,NA,reston
NP,NA,USA,NA,1989,reston
vp35,NA,USA,NA,1989,reston
vp40,NA,USA,NA,1989,reston
GP-Small,NA,USA,NA,1989,reston
vp30,NA,USA,NA,1989,reston
vp24,NA,USA,NA,1989,reston
L,NA,USA,NA,1989,reston
GP-Spike,NA,USA,NA,1989,reston
NP,NA,Philippines,NA,1996,reston
vp35,NA,Philippines,NA,1996,reston
vp40,NA,Philippines,NA,1996,reston
GP-Spike,NA,Philippines,NA,1996,reston
GP-Small,NA,Philippines,NA,1996,reston
vp30,NA,Philippines,NA,1996,reston
vp24,NA,Philippines,NA,1996,reston
L,NA,Philippines,NA,1996,reston
NP,Sus scrofa,Philippines,NA,2008,reston
vp35,Sus scrofa,Philippines,NA,2008,reston
vp40,Sus scrofa,Philippines,NA,2008,reston
GP-Spike,Sus scrofa,Philippines,NA,2008,reston
GP-Small,Sus scrofa,Philippines,NA,2008,reston
vp30,Sus scrofa,Philippines,NA,2008,reston
vp24,Sus scrofa,Philippines,NA,2008,reston
L,Sus scrofa,Philippines,NA,2008,reston
NP,Sus scrofa,Philippines,lymph,2008,reston
vp35,Sus scrofa,Philippines,lymph,2008,reston
GP-Spike,Sus scrofa,Philippines,lymph,2008,reston
GP-Small,Sus scrofa,Philippines,lymph,2008,reston
vp30,Sus scrofa,Philippines,lymph,2008,reston
vp24,Sus scrofa,Philippines,lymph,2008,reston
L,Sus scrofa,Philippines,lymph,2008,reston
vp40,Sus scrofa,Philippines,lymph,2008,reston
vp35,Sus scrofa,Philippines,abdominal cavity,2008,reston
vp40,Sus scrofa,Philippines,abdominal cavity,2008,reston
GP-Spike,Sus scrofa,Philippines,abdominal cavity,2008,reston
GP-Small,Sus scrofa,Philippines,abdominal cavity,2008,reston
vp30,Sus scrofa,Philippines,abdominal cavity,2008,reston
vp24,Sus scrofa,Philippines,abdominal cavity,2008,reston
L,Sus scrofa,Philippines,abdominal cavity,2008,reston
NP,Sus scrofa,Philippines,abdominal cavity,2008,reston
L,Sus scrofa,China,"spleen,abdominal cavity",2011,reston
L,Sus scrofa,China,"spleen,abdominal cavity",2011,reston
L,Sus scrofa,China,"spleen,abdominal cavity",2011,reston
L,Sus scrofa,China,"spleen,abdominal cavity",2011,reston
NP,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
vp35,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
vp40,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
GP-Spike,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
GP-Small,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
GP-Second,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
vp30,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
vp24,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
L,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
NP,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
vp35,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
vp40,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
GP-Spike,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
GP-Small,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
GP-Second,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
vp30,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
vp24,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
L,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
NP,Macaca fascicularis,Italy,blood,1992,reston
vp35,Macaca fascicularis,Italy,blood,1992,reston
vp40,Macaca fascicularis,Italy,blood,1992,reston
GP-Small,Macaca fascicularis,Italy,blood,1992,reston
GP-Spike,Macaca fascicularis,Italy,blood,1992,reston
vp30,Macaca fascicularis,Italy,blood,1992,reston
vp24,Macaca fascicularis,Italy,blood,1992,reston
L,Macaca fascicularis,Italy,blood,1992,reston
NP,Macaca fascicularis,Philippines,"liver,abdominal cavity",1992,reston
vp35,Macaca fascicularis,Philippines,"liver,abdominal cavity",1992,reston
vp40,Macaca fascicularis,Philippines,"liver,abdominal cavity",1992,reston
GP-Small,Macaca fascicularis,Philippines,"liver,abdominal cavity",1992,reston
GP-Spike,Macaca fascicularis,Philippines,"liver,abdominal cavity",1992,reston
vp30,Macaca fascicularis,Philippines,"liver,abdominal cavity",1992,reston
vp24,Macaca fascicularis,Philippines,"liver,abdominal cavity",1992,reston
L,Macaca fascicularis,Philippines,"liver,abdominal cavity",1992,reston
NP,Sus scrofa,Philippines,lung,2008,reston
vp35,Sus scrofa,Philippines,lung,2008,reston
vp40,Sus scrofa,Philippines,lung,2008,reston
GP-Small,Sus scrofa,Philippines,lung,2008,reston
GP-Spike,Sus scrofa,Philippines,lung,2008,reston
